排名,代码,名称,所属方向,WIND行业,20日涨跌幅%,当日涨跌幅%,量比,换手率%,价格,前收,20日成交量,催化,评分
1,002167.SZ,东方锆业,金属/铜/覆铜板,材料--材料Ⅱ--金属、非金属与采矿--金属非金属,12.88,2.24,1.32,11.92,14.16,13.85,1085745250,有,130
2,603995.SH,甬金股份,金属/铜/覆铜板,材料--材料Ⅱ--金属、非金属与采矿--钢铁,0.5,3.36,1.11,2.65,19.67,19.03,187395426,有,119
3,601211.SH,国泰海通,金融/券商/银行,金融--多元金融--资本市场--投资银行业与经纪业,11.53,2.38,1.37,1.36,17.63,17.22,2557485844,有,112
4,000920.SZ,沃顿科技,化工/基础材料,材料--材料Ⅱ--化工--特种化工,20.93,5.67,1.53,6.63,14.35,13.58,316169699,有,108
5,002842.SZ,翔鹭钨业,金属/铜/覆铜板,材料--材料Ⅱ--金属、非金属与采矿--金属非金属,7.99,3.36,2.87,40.72,40.66,39.34,726165272,有,105
6,000795.SZ,英洛华,金属/铜/覆铜板,材料--材料Ⅱ--金属、非金属与采矿--金属非金属,-0.81,1.75,1.15,3.0,9.3,9.14,388225434,有,104
7,002240.SZ,盛新锂能,金属/铜/覆铜板,材料--材料Ⅱ--金属、非金属与采矿--金属非金属,-0.16,2.41,1.41,9.98,52.21,50.98,1016632964,有,104
8,601168.SH,西部矿业,金属/铜/覆铜板,材料--材料Ⅱ--金属、非金属与采矿--金属非金属,-2.89,5.72,2.02,3.28,31.23,29.54,953368304,有,104
9,600259.SH,中稀有色,金属/铜/覆铜板,材料--材料Ⅱ--金属、非金属与采矿--金属非金属,-5.18,2.93,1.58,6.51,94.79,92.09,265626967,有,101
10,688711.SH,宏微科技,半导体材料与设备,信息技术--半导体与半导体生产设备--半导体产品与半导体设备--半导体产品,6.82,0.2,1.0,8.25,34.7,34.63,349675398,弱,101
11,300861.SZ,美畅股份,金属/铜/覆铜板,材料--材料Ⅱ--金属、非金属与采矿--金属非金属,-10.34,0.76,1.42,5.39,18.6,18.46,399212088,有,97
12,601128.SH,常熟银行,金融/券商/银行,金融--银行--商业银行--区域性银行,0.37,0.31,0.98,1.0,6.45,6.43,798158829,有,97
13,002129.SZ,TCL中环,半导体材料与设备,信息技术--半导体与半导体生产设备--半导体产品与半导体设备--半导体产品,3.05,-1.18,1.76,11.5,10.01,10.13,4274570204,弱,94
14,300655.SZ,晶瑞电材,半导体材料与设备,信息技术--半导体与半导体生产设备--半导体产品与半导体设备--半导体设备,3.62,-6.67,1.66,10.21,14.97,16.04,1494904067,弱,94
15,603650.SH,彤程新材,化工/基础材料,材料--材料Ⅱ--化工--特种化工,12.74,-7.23,1.85,8.05,59.65,64.3,429740001,有,94
16,688548.SH,广钢气体,化工/基础材料,材料--材料Ⅱ--化工--工业气体,3.24,-11.46,1.45,6.8,29.04,32.8,637558459,有,94
17,601288.SH,农业银行,金融/券商/银行,金融--银行--商业银行--多元化银行,0.15,1.65,1.07,0.12,6.79,6.68,6069808684,有,93
18,688019.SH,安集科技,半导体材料与设备,信息技术--半导体与半导体生产设备--半导体产品与半导体设备--半导体产品,8.43,-1.61,1.91,5.65,226.74,230.45,151027688,弱,91
19,688216.SH,气派科技,半导体材料与设备,信息技术--半导体与半导体生产设备--半导体产品与半导体设备--半导体产品,9.37,-10.76,1.37,9.18,35.0,39.22,124206847,弱,91
20,002179.SZ,中航光电,航空航天/军工,信息技术--技术硬件与设备--电子设备、仪器和元件--电子元件,-6.24,-0.71,1.21,2.07,36.24,36.5,882412992,有,90
